,y_test,y_pred,error,percentage error
34,10.52,11.386511,0.07609976932268044,7.609976932268044
42,16.28,16.717932,0.026195330502152184,2.6195330502152183
2,15.57,14.922522,0.04338934307160847,4.338934307160847
21,15.966,15.823156,0.009027506267861961,0.9027506267861961
3,13.65,13.573278,0.005652398076699078,0.5652398076699078
